z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.11569473369895861,-1.0363704501461909e-18,298.0,1.1467764846170292,2.0704781859117136e-05,6.943355625866896e-15,1.370563769767321e-15,6.171652820729203e-13,1.0267068558513964e-13,6.843296933246286e-08,-6.953053776961621e-17,-1.7967678574205143e-13,-6.137348790347744e-14,-1.4704556331523443e-14,2.266958997612266e-14,9.110193502554285e-22,3.2061535777561802e-15,2.5458716386182207e-09,6.487692733290198e-08,2.4534379849974918e-09,5.447494073830176e-16,9.47445161741512e-15,2.0679981018975567e-19,-3.564287346046836e-15,8.414810416138686e-15,-1.1410200333719666e-14,5.4279363878884805e-09,6.387488777080628e-14,0.9001102758474534,8.386634057352418e-13,9.60296331223031e-12,-4.1203369758222017e-19,5.375559645221528e-13,2.1440835786624282e-14,-3.0253352375875485e-14,-4.487411016905303e-14,-2.948773482287247e-14,3.525634807021805e-11,8.791682244547202e-29,1.2028994187823709e-10,1.1669808947596286e-14,4.399285570820451e-14,2.3647668401752264e-14,-2.250062375102449e-16,4.412530005251643e-12,4.3524912681316734e-14,-2.3721570122630883e-14,1.1853037514119377e-13,2.416723569736721e-16,7.124125249708389e-13,-2.267268022850891e-18,0.0998688754611051,-5.246364278305572e-19,1.7688139355963685e-14,7.335059348645894e-14,4.992885498605468e-17,-1.6567160651995043e-15
0.00034375000000000003,0.11501869702926464,2.024366238479644,298.0003360429352,1.1465798701726926,3.389167553907852e-05,6.552031224518172e-19,4.3696934285441316e-20,1.889428572522375e-12,3.219706414865609e-16,2.3429385681075408e-07,-3.178106510500907e-17,-1.7911066892709452e-13,-6.055793333915417e-14,-1.4132444864542723e-18,2.2516271466461478e-14,2.967516674161625e-21,1.256294718811903e-14,8.445384254309862e-09,2.2508234459902216e-07,1.0774403443960658e-08,2.4625441528424086e-15,1.1823351471001182e-13,1.9608764327676172e-18,-3.5453925898990685e-15,3.3755607356653483e-14,-7.283002396481646e-16,2.2621009024205727e-08,2.681834321882575e-13,0.9000975492378264,3.833900836906001e-12,4.319854280837319e-11,-1.2808439666237803e-18,2.7051727005499748e-12,1.100813698832711e-13,-3.051108265243445e-14,-4.412629030214696e-14,-2.942506613550233e-14,1.2336709637532458e-10,3.0343743003850907e-28,4.203798938081018e-10,4.7282292301503426e-14,1.9404056473310217e-13,2.3655690193125674e-14,-2.745230308188181e-16,2.0374031404225394e-11,4.352653312984091e-14,-7.362330844631067e-14,5.371265500330466e-13,1.0678928062292515e-15,3.1366919814898066e-12,-9.97877812435194e-18,0.09986805724924527,-5.2462885703852605e-19,9.488357725326804e-14,4.1660921734441166e-13,1.7358000103249649e-15,7.453869313147718e-16
0.0006875000000000001,0.1129634157512171,4.0487758331299615,298.00173654690104,1.1462554001770757,5.543082915102972e-05,-1.632075615647167e-21,-6.892752471609572e-21,6.277286930734375e-12,9.210791336628472e-19,7.997843763814229e-07,9.904141036214994e-17,-1.7714314751574371e-13,-5.863981755158225e-14,-1.2995848744260138e-22,2.220775717667582e-14,2.8241691189980443e-21,5.0043616078176563e-14,2.7933712970897683e-08,7.78567666208838e-07,4.7149325613228814e-08,2.228809444948927e-15,6.108015449196082e-13,9.84217402665172e-18,-3.5137347227413855e-15,1.5006417573775057e-13,-2.8935194171345454e-17,9.395179064827811e-08,2.828101688673629e-13,0.9000751385481366,1.5168554156319542e-11,1.970602628868874e-10,-1.2500394645536336e-18,1.3660701583930025e-11,5.580884181579052e-13,-3.108461732873548e-14,-4.2446033164114755e-14,-2.929144294504106e-14,4.3038288922511413e-10,-1.3854986104833719e-30,1.4632202133247283e-09,1.9093011956652013e-13,8.534270563687322e-13,2.368429995076034e-14,-4.504686432344246e-16,9.373174972241822e-11,4.353339196458567e-14,-7.361553596739128e-14,2.368684949296578e-12,4.683042625406899e-15,1.3744512642036915e-11,-3.4371450694275684e-17,0.09986768099498998,-5.246168237610324e-19,4.999372559544299e-13,2.345320040422081e-12,2.0857954964407528e-15,1.2976544206338777e-14
0.00103125,0.10953652385739301,6.073332348138844,298.0074845639312,1.1457154339891278,9.037110438858274e-05,-2.2973590386598873e-21,-2.2690642968624598e-20,2.121704719626003e-11,-2.358019547853825e-19,2.7032613949857388e-06,5.468449270211616e-16,-1.7038457574590188e-13,-5.441484559461979e-14,-1.1149401272226754e-26,2.1433378781735757e-14,2.5787426229756476e-21,1.9244651987209374e-13,9.150428696992373e-08,2.6663326759753096e-06,2.0395006580032977e-07,2.5889956931971563e-15,2.8102348436394995e-12,4.4759234167883104e-17,-3.459748223422915e-15,6.762000202649036e-13,-7.051230449117098e-19,3.858428396250056e-07,3.4132792801399214e-13,0.9000331889260171,6.60251981884756e-11,8.917981748644048e-10,-1.183313920298991e-18,6.823039660934924e-11,2.7896256445393793e-12,-3.219986328292355e-14,-3.8911284690920546e-14,-2.899776879446157e-14,1.4864298888986815e-09,-3.0532238294152312e-30,5.0407472987754385e-09,7.624982435541853e-13,3.7101761244714995e-12,2.378390928024845e-14,-8.635800082271504e-16,4.261188838640943e-10,4.356385715035268e-14,-7.358344016885568e-14,1.0271167424393765e-11,2.0281186875206775e-14,5.95147073142649e-11,-1.0706411627118551e-16,0.09987038098126053,-5.245948713041646e-19,2.626553880972914e-12,1.3021623319951145e-11,5.127103817704562e-15,7.435234474721805e-14
0.0013750000000000001,0.10475132536461253,8.098370570997366,298.0304723227894,1.1447957050464006,0.00014639525470225688,-6.548349689959809e-21,-6.934745010179647e-20,7.098422412530764e-11,-6.400507562853486e-19,8.972573398539668e-06,2.052696011407043e-15,-1.4766135643611627e-13,-4.6077458026016993e-14,-2.534470970386634e-29,1.9635361127778226e-14,2.1747257918737757e-21,7.202978050064984e-13,2.9447367935776027e-07,8.965653958715836e-06,8.639467244978182e-07,8.74236529604808e-15,1.2397405660223678e-11,1.9578165782496673e-16,-3.364657380592355e-15,2.9991043951181486e-12,-1.1696603835978473e-20,1.552625208437996e-06,5.785911924623955e-13,0.8999471106506125,2.8875541016025334e-10,3.953892124125152e-09,-1.0337313242854756e-18,3.333749687425107e-10,1.3632292253360884e-11,-3.3820541936535615e-14,-3.2261105725562374e-14,-2.8342336864463553e-14,5.040039907658088e-09,-8.616249506971667e-30,1.7047554383697807e-08,2.98453610938607e-12,1.579281462759308e-11,2.4121457820320456e-14,-1.5936394208525923e-15,1.896170925832754e-09,4.369873537689923e-14,-7.34988476435627e-14,4.356411517057958e-11,8.599621336553836e-14,2.523478632333209e-10,-3.010298383655103e-16,0.09988581576143193,-5.245480146295598e-19,1.364847119029254e-11,7.063350009122852e-11,2.4205876005651806e-14,3.747649942186742e-13
0.0017187500000000002,0.09863464216434224,10.124947564443406,298.11900058127344,1.1431411826598603,0.00023474730971954728,-1.2778360291395498e-20,-1.8366105115859547e-19,2.316191660314638e-10,-1.190135235157269e-18,2.8982396020819705e-05,6.977973716227354e-15,-7.362168652829311e-14,-3.2380470388462954e-14,-4.439362100277687e-29,1.600391881518146e-14,1.5775792201975922e-21,2.6240030356786984e-12,9.227843791142647e-07,2.9332885186456862e-05,3.547756082902122e-06,4.8477922761834676e-14,5.275416018291421e-11,8.266528886807307e-16,-3.185367121475015e-15,1.2901369987825111e-11,-5.9052878791323245e-22,6.061211944010299e-06,1.5061131551523834e-12,0.8997502515962654,1.230736107886145e-09,1.698622361842857e-08,-6.866266876808553e-19,1.5761162012968488e-09,6.44522811375782e-11,-3.4526744641577505e-14,-2.1897171734475498e-14,-2.6879687583941822e-14,1.662464912523251e-08,-1.8463301043122846e-29,5.6089159271557196e-08,1.133762123816163e-11,6.515303070887112e-11,2.5227024901462226e-14,-2.43006217299851e-15,8.173873849812005e-09,4.4279240513449785e-14,-7.327843780221034e-14,1.7906882587611806e-10,3.5346256157302463e-13,1.037205319197921e-09,-7.209099595330765e-16,0.09994605127941697,-5.244327186388616e-19,6.922026619452501e-11,3.7024591114763355e-10,1.2689849900808007e-13,1.793085565425691e-12
0.0020625,0.09124914103369042,12.156258399122335,298.44277195439366,1.1398629372936577,0.0003710317787993699,1.6206715741134817e-21,-3.704929889551431e-19,7.284872408735182e-10,3.5167941629844426e-19,9.01915416117982e-05,2.268118568780563e-14,1.5755302675906722e-13,-1.5769939650873877e-14,-4.223335404606669e-29,1.0180819203216705e-14,8.655127955920886e-22,9.256623625266611e-12,2.78828677521956e-06,9.243896240331443e-05,1.3962811481171834e-05,2.437266767542126e-13,2.1478330723742925e-10,3.3407618424912507e-15,-2.8021077276736765e-15,5.3154581237685884e-11,-9.790879664672917e-23,2.2701679092214782e-05,4.968083301650835e-12,0.8992571018694819,5.030448142224677e-09,6.98832443077453e-08,1.8042603104312505e-19,7.123125448005682e-09,2.912888358622563e-10,-3.012978154137714e-14,-1.01045623104722e-14,-2.3665592015702396e-14,5.28048675052563e-08,-1.7901718575255298e-29,1.7772893023579934e-07,4.134260650976571e-11,2.5755012072923397e-10,2.8692625067572906e-14,-2.5547112550041867e-15,3.373775636381849e-08,4.6666253563290033e-14,-7.272618930083056e-14,7.053919856713658e-10,1.3923508010810104e-12,4.085751241808041e-09,-1.3074721868349862e-15,0.10014942816990705,-5.24122504609959e-19,3.3747840009331565e-10,1.8521307577874196e-09,6.208561014028845e-13,8.169353100135324e-12
0.0022343750000000002,0.08714235097063086,13.177540590932969,298.899346263934,1.1367080848926627,0.00046472950619421435,4.998030289172371e-20,-4.6429517350838805e-19,1.3359518567114282e-09,6.030456750044767e-18,0.00016428817014136333,4.3322770162410486e-14,4.4252419710293876e-13,-8.777278956715073e-15,-2.664352738225738e-29,6.955892853067488e-15,5.472998225354294e-22,1.8398680546812455e-11,4.989139339271569e-06,0.00016970883512426021,2.952501984117747e-05,5.693085963448219e-13,4.643748069564817e-10,7.188733426609636e-15,-2.3910071397012827e-15,1.1585736481589789e-10,-2.913508312496483e-23,4.6476748526964865e-05,9.972166214104777e-12,0.898710818795127,1.0908906755031408e-08,1.5217663901742393e-07,1.2933050938580655e-18,1.6526555391638743e-08,6.758279985752498e-10,-2.483662277572155e-14,-5.41170396370618e-15,-2.069362586680525e-14,9.740523160536081e-08,5.114806612686325e-30,3.273912968972619e-07,8.31860414923502e-11,5.461367529189263e-10,3.2977836184357646e-14,-2.1796675633167454e-15,7.362179763876733e-08,5.042319798340151e-14,-7.217120578711303e-14,1.4924598736976854e-09,2.9459154980872667e-12,8.644585268103594e-09,-1.4723498270222666e-15,0.1004087669053514,-5.237636210294948e-19,8.277520529189594e-10,4.610998497885551e-09,1.4853791286266855e-12,1.9049196075781754e-11
0.0024062500000000004,0.08284575113131856,14.20883833490906,299.87689681407096,1.1312378633137523,0.0005805582478803329,1.9748289667256433e-19,-4.600135185161353e-19,2.4982013994819615e-09,2.6810718133482506e-17,0.00030488003564646445,8.589126333848605e-14,9.914110360939625e-13,-3.848152238427781e-15,-5.4968182794645254e-30,3.9765667049450334e-15,2.938960260645474e-22,3.717846083026134e-11,9.080525714780398e-06,0.00031773660839262214,6.464415992677823e-05,1.3392780643910496e-12,1.0421553296491424e-09,1.6049601519610174e-14,-1.574494134968349e-15,2.6238129492374207e-10,-5.7451127863167075e-24,9.81627456369225e-05,2.095399856410816e-11,0.8977070377969907,2.4568584828271217e-08,3.4429816993276285e-07,3.718822820495325e-18,4.0137419693263144e-08,1.6413589729365575e-09,-1.7536961513000732e-14,-2.268054633666969e-15,-1.6093671881985505e-14,1.8328587837022142e-07,8.355191646684815e-29,6.15220837175523e-07,1.723364217602338e-10,1.1994642905761567e-09,4.125026960204403e-14,-1.5105635040236138e-15,1.669467292671904e-07,5.927115620828666e-14,-7.125540177096586e-14,3.2698396854007447e-09,6.454223292831527e-12,1.8939486653532447e-08,-1.3860009894456073e-15,0.10091648201137016,-5.230905050094662e-19,2.148255425092985e-09,1.2120255985853394e-08,3.6802237862610725e-12,4.651965406515844e-11
0.0025781250000000006,0.07847776499350183,15.260213866721273,301.89020701081796,1.1215156072815342,0.0007218546568399925,6.226436752580035e-19,-1.294350920107262e-19,4.655169067449612e-09,1.0100758886105762e-16,0.0005635395476830584,1.7494502824443057e-13,2.016681032817345e-12,-1.240366285926356e-15,9.22186267101585e-30,1.7853279299286496e-15,1.2976524236375205e-22,7.48786710804513e-11,1.646413110853457e-05,0.0005928172482495955,0.00014112724191470027,3.059919430654645e-12,2.3317478595903164e-09,3.5733587985180005e-14,1.1221106107438015e-16,5.924360100001087e-10,-6.47487818100501e-25,0.00020671633294924014,4.426538317858952e-11,0.8958789180092026,5.517847885876384e-08,7.767656189173794e-07,9.621676300139544e-18,9.71844170026358e-08,3.974210674314033e-09,-1.000204241232715e-14,-6.955112630226892e-16,-9.109283804933468e-15,3.4356965121863996e-07,3.3321731503333484e-28,1.152098652230689e-06,3.559227816820595e-10,2.6266953924524002e-09,5.6736552127641515e-14,-7.866000318808205e-16,3.774361860013189e-07,7.93453806795971e-14,-6.979686698195791e-14,7.143234303141514e-09,1.4099783869529041e-11,4.13748862374741e-08,-1.0145280097669073e-15,0.10187565996017073,-5.218473122996385e-19,5.56968296911344e-09,3.1754288322146324e-08,9.005597810327351e-12,1.132534630344384e-10
0.0027500000000000003,0.07422291400899657,16.349832676553305,305.8470908472829,1.1043634036461378,0.0008913286604027832,1.8743268387211817e-18,1.1114922682577134e-18,8.512693749427661e-09,3.579473661854014e-16,0.0010217174920301886,3.6719024658282406e-13,3.861694006807631e-12,-2.778309386632249e-16,1.1037987364935207e-29,5.898830234621335e-16,4.7607769721800576e-23,1.489536977748863e-10,2.9315893373758627e-05,0.0010854655429590316,0.0003006289669496273,6.674615756188612e-12,5.084538648385897e-09,7.759235608530311e-14,3.617352813502227e-15,1.303285168875419e-09,-2.1454086737996132e-26,0.0004253268760704112,9.181415561342937e-11,0.8926234998770612,1.208107022299949e-07,1.7079673156778162e-06,2.5640035879570044e-17,2.2869570408541968e-07,9.35216821673501e-09,-4.359417357026295e-15,-1.4551477450039045e-16,1.23618084408273e-15,6.314676595402089e-07,1.228830840619281e-27,2.1170167782502583e-06,7.186106966895169e-10,5.612030297541887e-09,8.46686973794837e-14,-2.8579647296627337e-16,8.313183254725979e-07,1.2286505526335625e-13,-6.757709248790024e-14,1.5226289647074174e-08,3.005465119339567e-11,8.819340247482963e-08,-5.393152889155165e-16,0.1036168501867854,-5.19619177956919e-19,1.4016118989377584e-08,8.063808632271679e-08,2.1269881798959514e-11,2.679086947328617e-10
