Z (-),u (m/s),V (1/s),T (K)
1.0,0.11568198083791185,3.825686333929905e-19,298.0
0.9999916857288828,0.115058660190984,1.847182057545981,298.00017155388963
0.9999770445870779,0.1131727432285352,3.694386091574571,298.0008874934226
0.9999496427501237,0.11002870956250169,5.541664565586501,298.003835154856
0.9998934468118064,0.1056343010037367,7.389190244863011,298.01569709274463
0.9997650017035719,0.10000493748605377,9.237528492360065,298.0618782020909
0.9994428825775515,0.09317668751885064,11.088497077274484,298.2337943986477
0.9985945480932369,0.08524105729245551,12.947626705237889,298.8370999871455
0.9976513004795945,0.0809483222034177,13.886773490711509,299.650575549675
0.995951032451049,0.07655891442971854,14.842324983163554,301.3209860606214
0.9929587617242525,0.0722229107343735,15.82928606128687,304.6045970497375
0.9878771369016146,0.0681480890603155,16.8725453759423,310.7254069751552
0.979652135054965,0.06456702897327023,18.008220400263696,321.4140462967238
0.9738195255355195,0.06305937557485411,18.629783436129117,329.31266435261966
0.9665506732769463,0.06178237554670416,19.300119484730168,339.4151120707982
0.9576821973112576,0.060728187068446744,20.02641674604636,351.96910015268963
0.9470928464873832,0.05986440340986027,20.813939006535605,367.12380517383025
0.9410456754500655,0.059492799330710174,21.23242473508803,375.7237651676422
0.9345080323210277,0.05915257140595043,21.668258193505476,385.0167598376955
0.9274788921580059,0.05883361818043133,22.12129631247991,394.9888375769015
0.9199612119827274,0.05852522917374043,22.591163384853907,405.6199733130806
0.911961684548795,0.05821640242622607,23.077262507022716,416.8853504780327
0.9034904256081941,0.05789613140532056,23.578793029937916,428.7566682639167
0.8945606197315096,0.057553647241167336,24.094772388329087,441.2033721216518
0.8851881460836484,0.05717860968963825,24.62406072662315,454.19373570863394
0.8803056415491947,0.05697617560544212,24.893303023462142,460.88428573080427
0.8753156057190556,0.05676228567503601,25.165456971574304,467.7012028873116
0.8702207205636264,0.056535791901651936,25.440341424428173,474.6404246405239
0.865023775445381,0.05629559297544667,25.717770157207482,481.69795237967907
0.8597276555402511,0.056040635118898376,25.99755269844646,488.8698635414456
0.8543353307041245,0.055769912462053386,26.279495131979974,496.15232106153127
0.848849844804436,0.05548246701638164,26.5634008660086,503.54158042326503
0.8432743055301857,0.055177388311906224,26.849071366837457,511.0339945738171
0.8319490423405907,0.05451046630848294,27.425008179446717,526.3133575948282
0.8203122132399949,0.05376265878543777,28.005536589961896,541.9583657791335
0.8083890445706507,0.05292841654503786,28.58910377952444,557.944071829309
0.7962049715503999,0.05200282868212774,29.1741795839672,574.2469769550671
0.7837854382024877,0.050981581495088066,29.759270306130002,590.8449283419137
0.7711557207098885,0.04986091728763601,30.342930387370995,607.7169974896195
0.7583407728233508,0.04863759463466722,30.923772050554913,624.8433518012313
0.7453650919326155,0.04730885103943435,31.50047305006646,642.2051283237873
0.7322526043612981,0.04587236843343713,32.07178267899374,659.7843156925085
0.7256086157126957,0.04511318371024291,32.3549699607346,668.6492489998697
0.7189384423221746,0.04432642021435326,32.63635353579485,677.562680084824
0.7122449521189567,0.04351189665478728,32.91579799741571,686.5225267312412
0.7055309590132984,0.04266945446336734,33.193173167841486,695.526744302865
0.698799221174545,0.041798957007290374,33.46835411651178,704.5733235184064
0.692052439523315,0.04090028883828509,33.74122116192899,713.6602884464082
0.6852932564258258,0.03997335497566391,34.011659858456575,722.7856947099093
0.6785242545784652,0.03901808022063957,34.27956096926247,731.9476278911905
0.6717479560725457,0.03803440849936232,34.544820426577004,741.144202128059
0.6649668216295902,0.03702230223225724,34.80733928038892,750.3735588947819
0.6581832499991853,0.03598174172732784,35.06702363665465,759.6338659623004
0.6513995775121365,0.03491272459521534,35.32378458604712,768.9233165329273
0.6446180777819688,0.03381526518388358,35.57753812422106,778.2401285438
0.6378409615476324,0.03268939403086736,35.82820506452279,787.5825441305842
0.6310703766498771,0.03153515733114861,36.07571094402361,796.9488292381048
0.624308408223446,0.030352616423229884,36.31998592370956,806.3372733542956
0.610895841660935,0.027902885095718262,36.79870373910765,825.1758589204169
0.5975402986191537,0.02534098854504313,37.26383446606735,844.0821669566606
0.5842560095180314,0.022667915887694234,37.7149684402473,863.043438036957
0.5710562767311762,0.01988485139652076,38.151758646901264,882.0472845833525
0.5579534954971458,0.016993160292996554,38.5739169947216,901.0816983287284
0.5449591781053925,0.013994374904117354,38.98121054228698,920.1350591675894
0.5320839807918379,0.010890181161995888,39.373457727012045,939.1961454872521
0.5193377328191757,0.0076824054300214766,39.75052463795221,958.2541465623879
0.5067294675615429,0.0043730016316711915,40.11232136610395,977.298677548022
0.4821934154842615,-0.002542500354352801,40.790429970083586,1015.3205677112722
0.45828357096899336,-0.009838487998877578,41.407415176722914,1053.1637441048467
0.4350440555242195,-0.01749571115350133,41.96401792882884,1090.7496133579143
0.42359043186535833,-0.021453341819441148,42.21982754862645,1109.4189299384052
0.4123211692438897,-0.025493599805153925,42.4609335064343,1128.0006140273006
0.40123941945839947,-0.02961385959812912,42.68751287555869,1146.4885505022544
0.3903478802967953,-0.03381149997220385,42.89975659189377,1164.878121674002
0.37964883301529856,-0.038083931079771385,43.09786743971817,1183.1665019050804
0.36914417982275566,-0.04242862523680293,43.28205820094467,1201.352969381468
0.35883548130003684,-0.04684315123905485,43.452549966476155,1219.4392264135952
0.3537358881530813,-0.049075912753714965,43.53270938889838,1228.4463814568692
0.3486863167081302,-0.051325289354099746,43.6095193398012,1237.4305205087476
0.34368687824053,-0.05359102109699077,43.68300908337884,1246.392674997883
0.3387376689421628,-0.0558728615902065,43.753208157197655,1255.3340880694798
